ID,ComplaintID,ComplaintStatusID,StatusDate
129,10028,9,19-09-18
33,10033,1,12-09-18
34,10033,9,12-09-18
67,10051,3,14-09-18
68,10051,4,14-09-18
69,10051,9,14-09-18
334,10052,3,28-09-18
341,10052,9,01-10-18
20,10053,1,12-09-18
338,10053,4,01-10-18
579,10053,1,17-10-18
620,10053,4,19-10-18
649,10053,1,22-10-18
664,10053,9,23-10-18
95,10071,9,18-09-18
158,10074,9,20-09-18
96,10083,1,18-09-18
102,10083,4,18-09-18
171,10083,3,21-09-18
210,10083,4,25-09-18
378,10083,9,03-10-18
121,10090,3,19-09-18
162,10090,4,20-09-18
1049,10090,1,13-11-18
1052,10090,4,13-11-18
1143,10090,9,19-11-18
161,10101,1,20-09-18
175,10101,4,21-09-18
266,10101,9,26-09-18
92,10104,3,17-09-18
135,10104,9,20-09-18
50,10106,4,13-09-18
168,10106,1,21-09-18
440,10106,9,09-10-18
30,10108,3,12-09-18
32,10108,1,12-09-18
55,10108,3,13-09-18
97,10108,9,18-09-18
12,10117,3,11-09-18
174,10117,9,21-09-18
16,10119,4,11-09-18
160,10119,1,20-09-18
188,10119,4,24-09-18
204,10119,9,24-09-18
71,10124,3,14-09-18
333,10124,9,28-09-18
9,10125,4,11-09-18
19,10125,1,12-09-18
23,10125,3,12-09-18
61,10125,9,13-09-18
3,10126,1,11-09-18
10,10126,9,11-09-18
4,10127,9,11-09-18
5,10128,9,11-09-18
141,10129,4,20-09-18
599,10129,9,17-10-18
41,10130,3,13-09-18
60,10130,1,13-09-18
63,10130,9,13-09-18
2,10131,1,11-09-18
15,10131,3,11-09-18
93,10131,9,18-09-18
11,10133,9,11-09-18
1,10134,1,11-09-18
21,10134,1,12-09-18
110,10134,4,19-09-18
111,10134,1,19-09-18
224,10134,3,25-09-18
346,10134,4,01-10-18
482,10134,3,10-10-18
489,10134,9,10-10-18
6,10135,1,11-09-18
13,10135,3,11-09-18
78,10135,4,17-09-18
79,10135,3,17-09-18
85,10135,9,17-09-18
7,10136,1,11-09-18
8,10136,4,11-09-18
59,10136,1,13-09-18
164,10136,3,21-09-18
263,10136,9,26-09-18
14,10137,1,11-09-18
22,10137,9,12-09-18
17,10138,2,11-09-18
87,10138,9,17-09-18
18,10139,2,11-09-18
114,10139,1,19-09-18
146,10139,9,20-09-18
24,10140,1,12-09-18
29,10140,4,12-09-18
297,10140,3,27-09-18
433,10140,9,08-10-18
25,10141,2,12-09-18
116,10141,1,19-09-18
159,10141,9,20-09-18
26,10142,2,12-09-18
117,10142,1,19-09-18
147,10142,9,20-09-18
27,10143,2,12-09-18
118,10143,1,19-09-18
149,10143,9,20-09-18
28,10144,1,12-09-18
58,10144,4,13-09-18
393,10144,1,04-10-18
394,10144,3,04-10-18
467,10144,9,09-10-18
31,10145,1,12-09-18
56,10145,3,13-09-18
98,10145,9,18-09-18
35,10146,1,13-09-18
52,10146,4,13-09-18
105,10146,9,19-09-18
36,10147,1,13-09-18
49,10147,4,13-09-18
136,10147,9,20-09-18
37,10148,1,13-09-18
44,10148,4,13-09-18
515,10148,9,12-10-18
38,10154,1,13-09-18
45,10154,4,13-09-18
488,10154,9,10-10-18
39,10155,1,13-09-18
40,10155,4,13-09-18
54,10155,1,13-09-18
88,10155,3,17-09-18
101,10155,9,18-09-18
42,10156,2,13-09-18
119,10156,1,19-09-18
150,10156,9,20-09-18
43,10157,2,13-09-18
120,10157,1,19-09-18
151,10157,9,20-09-18
46,10158,2,13-09-18
199,10158,9,24-09-18
47,10159,2,13-09-18
122,10159,1,19-09-18
152,10159,9,20-09-18
48,10160,1,13-09-18
57,10160,4,13-09-18
163,10160,1,20-09-18
265,10160,4,26-09-18
478,10160,1,10-10-18
487,10160,9,10-10-18
51,10161,2,13-09-18
123,10161,1,19-09-18
153,10161,9,20-09-18
53,10162,2,13-09-18
115,10162,1,19-09-18
154,10162,9,20-09-18
62,10163,1,13-09-18
107,10163,4,19-09-18
373,10163,1,03-10-18
479,10163,4,10-10-18
627,10163,9,19-10-18
64,10164,1,14-09-18
65,10164,4,14-09-18
1060,10164,1,13-11-18
1165,10164,3,20-11-18
1282,10164,9,27-11-18
66,10165,1,14-09-18
70,10165,9,14-09-18
72,10166,9,14-09-18
73,10167,1,14-09-18
165,10167,3,21-09-18
525,10167,9,15-10-18
74,10168,2,14-09-18
200,10168,9,24-09-18
75,10169,2,14-09-18
201,10169,1,24-09-18
209,10169,9,24-09-18
76,10170,2,14-09-18
173,10170,4,21-09-18
222,10170,1,25-09-18
231,10170,4,25-09-18
549,10170,9,15-10-18
77,10171,2,14-09-18
124,10171,1,19-09-18
155,10171,9,20-09-18
80,10172,1,17-09-18
83,10172,4,17-09-18
130,10172,9,19-09-18
81,10173,2,17-09-18
125,10173,1,19-09-18
156,10173,9,20-09-18
82,10174,1,17-09-18
86,10174,4,17-09-18
495,10174,9,11-10-18
84,10175,2,17-09-18
203,10175,1,24-09-18
207,10175,9,24-09-18
89,10176,1,17-09-18
90,10176,4,17-09-18
299,10176,1,27-09-18
332,10176,9,28-09-18
91,10177,2,17-09-18
126,10177,1,19-09-18
145,10177,9,20-09-18
94,10178,1,18-09-18
157,10178,4,20-09-18
1277,10178,9,27-11-18
99,10179,1,18-09-18
100,10179,4,18-09-18
196,10179,1,24-09-18
261,10179,3,26-09-18
517,10179,9,15-10-18
103,10180,1,19-09-18
104,10180,9,19-09-18
106,10181,1,19-09-18
139,10181,9,20-09-18
108,10182,1,19-09-18
197,10182,4,24-09-18
289,10182,1,27-09-18
293,10182,9,27-09-18
109,10183,1,19-09-18
198,10183,9,24-09-18
112,10184,2,19-09-18
127,10184,1,19-09-18
138,10184,9,20-09-18
113,10185,1,18-09-18
